Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       Egz.      
Vardas283           Pavarde283          4         10        4         1         7         2         
Vardas284           Pavarde284          10        6         1         9         6         3         
Vardas285           Pavarde285          10        7         9         3         9         10        
Vardas286           Pavarde286          7         9         9         10        5         10        
Vardas287           Pavarde287          4         3         1         9         3         3         
Vardas288           Pavarde288          10        10        3         8         3         5         
Vardas289           Pavarde289          1         10        1         8         3         8         
Vardas290           Pavarde290          3         9         9         7         9         8         
Vardas291           Pavarde291          4         4         7         7         1         9         
Vardas292           Pavarde292          7         1         8         9         10        2         
Vardas293           Pavarde293          7         2         4         6         7         6         
Vardas294           Pavarde294          8         4         1         7         7         10        
Vardas295           Pavarde295          4         6         4         5         10        6         
Vardas296           Pavarde296          1         7         4         1         8         8         
Vardas297           Pavarde297          3         4         6         7         9         2         
Vardas298           Pavarde298          1         7         8         2         2         10        
Vardas299           Pavarde299          2         2         8         2         9         10        
Vardas300           Pavarde300          9         10        9         8         8         1         
Vardas301           Pavarde301          8         3         1         2         8         3         
Vardas302           Pavarde302          7         2         2         10        3         4         
Vardas303           Pavarde303          3         3         3         4         4         5         
Vardas304           Pavarde304          6         3         8         3         3         6         
Vardas305           Pavarde305          2         8         1         5         2         6         
Vardas306           Pavarde306          10        3         8         9         4         8         
Vardas307           Pavarde307          7         2         1         2         6         10        
Vardas308           Pavarde308          5         2         10        4         6         9         
Vardas309           Pavarde309          1         8         9         3         9         10        
Vardas310           Pavarde310          6         7         6         9         4         10        
Vardas311           Pavarde311          7         3         6         9         4         8         
Vardas312           Pavarde312          9         6         3         2         2         9         
Vardas313           Pavarde313          1         3         9         9         9         10        
Vardas314           Pavarde314          10        6         10        6         7         10        
Vardas315           Pavarde315          8         6         10        7         3         6         
Vardas316           Pavarde316          3         1         3         8         4         2         
Vardas317           Pavarde317          2         7         8         5         8         4         
Vardas318           Pavarde318          9         7         4         3         9         3         
Vardas319           Pavarde319          4         9         2         3         10        8         
Vardas320           Pavarde320          6         4         2         7         10        6         
Vardas321           Pavarde321          4         6         6         10        1         3         
Vardas322           Pavarde322          2         4         10        5         8         2         
Vardas323           Pavarde323          2         5         1         6         3         7         
Vardas324           Pavarde324          7         6         5         3         5         9         
Vardas325           Pavarde325          9         9         2         1         3         9         
Vardas326           Pavarde326          6         10        2         2         4         2         
Vardas327           Pavarde327          1         4         9         2         7         5         
Vardas328           Pavarde328          4         5         6         4         2         6         
Vardas329           Pavarde329          8         3         2         4         3         3         
Vardas330           Pavarde330          7         4         5         5         2         8         
Vardas331           Pavarde331          7         2         10        1         3         7         
Vardas332           Pavarde332          10        2         9         4         5         9         
Vardas333           Pavarde333          4         1         8         9         6         3         
Vardas334           Pavarde334          9         1         2         8         3         3         
Vardas335           Pavarde335          5         8         3         7         9         5         
Vardas336           Pavarde336          2         7         6         2         1         2         
Vardas337           Pavarde337          5         4         2         4         10        7         
Vardas338           Pavarde338          2         9         1         7         3         9         
Vardas339           Pavarde339          4         9         1         10        10        2         
Vardas340           Pavarde340          4         8         9         9         6         7         
Vardas341           Pavarde341          3         5         3         7         10        8         
Vardas342           Pavarde342          2         6         8         2         7         9         
Vardas343           Pavarde343          10        10        3         10        8         3         
Vardas344           Pavarde344          4         7         9         3         8         7         
Vardas345           Pavarde345          6         6         10        9         1         1         
Vardas346           Pavarde346          2         5         3         6         4         1         
Vardas347           Pavarde347          2         3         6         9         2         3         
Vardas348           Pavarde348          8         9         5         6         2         10        
Vardas349           Pavarde349          3         3         3         4         8         10        
Vardas350           Pavarde350          7         1         2         9         8         10        
Vardas351           Pavarde351          3         6         6         6         5         8         
Vardas352           Pavarde352          5         7         7         3         5         8         
Vardas353           Pavarde353          3         6         1         8         9         6         
Vardas354           Pavarde354          4         9         9         4         8         8         
Vardas355           Pavarde355          3         9         2         10        8         3         
Vardas356           Pavarde356          10        7         9         8         7         2         
Vardas357           Pavarde357          4         2         1         10        3         1         
Vardas358           Pavarde358          8         9         5         8         2         6         
Vardas359           Pavarde359          9         5         6         6         8         10        
Vardas360           Pavarde360          6         9         10        4         10        3         
Vardas361           Pavarde361          3         1         1         10        1         2         
Vardas362           Pavarde362          3         10        5         5         7         5         
Vardas363           Pavarde363          6         1         1         4         2         6         
Vardas364           Pavarde364          2         3         4         2         4         7         
Vardas365           Pavarde365          10        4         4         5         2         2         
Vardas366           Pavarde366          6         4         7         3         8         9         
Vardas367           Pavarde367          9         2         1         1         8         7         
Vardas368           Pavarde368          9         7         3         3         10        3         
Vardas369           Pavarde369          4         1         4         5         8         4         
Vardas370           Pavarde370          7         3         6         6         3         10        
Vardas371           Pavarde371          3         3         2         6         10        2         
Vardas372           Pavarde372          9         10        1         5         6         9         
Vardas373           Pavarde373          7         4         4         1         2         3         
Vardas374           Pavarde374          7         4         1         2         5         6         
Vardas375           Pavarde375          1         6         4         2         8         4         
Vardas376           Pavarde376          4         5         7         6         1         9         
Vardas377           Pavarde377          3         8         9         10        7         10        
Vardas378           Pavarde378          6         9         2         3         1         1         
Vardas379           Pavarde379          7         1         9         6         2         8         
Vardas380           Pavarde380          3         9         7         6         10        5         
Vardas381           Pavarde381          9         2         5         8         2         7         
Vardas382           Pavarde382          1         4         8         10        1         1         
Vardas383           Pavarde383          9         2         5         5         4         6         
Vardas384           Pavarde384          10        4         1         6         8         7         
Vardas385           Pavarde385          2         1         10        2         7         1         
Vardas386           Pavarde386          9         4         2         2         4         2         
Vardas387           Pavarde387          1         9         1         9         4         5         
Vardas388           Pavarde388          3         4         6         8         10        7         
Vardas389           Pavarde389          1         2         2         6         8         10        
Vardas390           Pavarde390          6         4         9         4         2         6         
Vardas391           Pavarde391          9         1         1         5         10        3         
Vardas392           Pavarde392          10        8         1         5         2         9         
Vardas393           Pavarde393          7         10        10        7         7         4         
Vardas394           Pavarde394          4         9         1         8         9         5         
Vardas395           Pavarde395          9         4         10        10        9         7         
Vardas396           Pavarde396          3         10        1         4         9         9         
Vardas397           Pavarde397          7         2         2         4         6         10        
Vardas398           Pavarde398          2         2         7         2         8         3         
Vardas399           Pavarde399          6         1         4         8         9         3         
Vardas400           Pavarde400          6         3         2         1         1         1         
Vardas401           Pavarde401          1         5         5         6         10        1         
Vardas402           Pavarde402          4         8         3         6         2         4         
Vardas403           Pavarde403          8         3         4         4         5         8         
Vardas404           Pavarde404          2         4         5         3         6         10        
Vardas405           Pavarde405          10        2         10        2         7         9         
Vardas406           Pavarde406          5         3         9         4         2         8         
Vardas407           Pavarde407          7         3         9         9         6         3         
Vardas408           Pavarde408          5         6         7         6         3         1         
Vardas409           Pavarde409          7         9         5         5         3         3         
Vardas410           Pavarde410          2         4         8         10        7         4         
Vardas411           Pavarde411          9         10        3         8         5         5         
Vardas412           Pavarde412          8         1         2         8         8         8         
Vardas413           Pavarde413          9         4         10        8         4         8         
Vardas414           Pavarde414          7         1         2         3         3         2         
Vardas415           Pavarde415          6         1         8         1         5         6         
Vardas416           Pavarde416          8         5         4         10        6         2         
Vardas417           Pavarde417          4         3         3         10        3         6         
Vardas418           Pavarde418          9         6         5         8         5         3         
Vardas419           Pavarde419          5         2         9         10        6         7         
Vardas420           Pavarde420          1         10        2         10        8         9         
Vardas421           Pavarde421          6         6         9         2         8         7         
Vardas422           Pavarde422          10        4         6         10        8         7         
Vardas423           Pavarde423          1         4         4         1         9         2         
Vardas424           Pavarde424          4         3         8         5         4         2         
Vardas425           Pavarde425          1         6         3         1         6         5         
Vardas426           Pavarde426          4         8         9         9         1         5         
Vardas427           Pavarde427          2         8         2         1         9         7         
Vardas428           Pavarde428          6         9         8         6         3         3         
Vardas429           Pavarde429          7         3         4         1         10        6         
Vardas430           Pavarde430          6         6         2         1         4         4         
Vardas431           Pavarde431          2         8         8         4         8         3         
Vardas432           Pavarde432          7         7         5         9         5         3         
Vardas433           Pavarde433          2         2         6         10        2         1         
Vardas434           Pavarde434          10        8         6         9         6         3         
Vardas435           Pavarde435          2         6         6         8         5         1         
Vardas436           Pavarde436          3         3         2         4         6         3         
Vardas437           Pavarde437          7         10        3         9         4         3         
Vardas438           Pavarde438          9         3         5         10        6         10        
Vardas439           Pavarde439          7         8         7         10        8         3         
Vardas440           Pavarde440          7         8         10        6         5         2         
Vardas441           Pavarde441          2         3         10        10        9         1         
