Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       Egz.      
Vardas65            Pavarde65           1         1         2         9         9         3         
Vardas66            Pavarde66           3         5         6         10        7         7         
Vardas67            Pavarde67           6         3         9         2         10        2         
Vardas68            Pavarde68           4         7         3         6         6         10        
Vardas69            Pavarde69           2         9         5         4         9         7         
Vardas70            Pavarde70           2         3         4         3         4         6         
Vardas71            Pavarde71           5         5         9         8         1         6         
Vardas72            Pavarde72           1         9         8         10        8         4         
Vardas73            Pavarde73           3         3         4         5         7         2         
Vardas74            Pavarde74           2         1         4         4         7         8         
Vardas75            Pavarde75           4         6         4         10        1         10        
Vardas76            Pavarde76           1         7         9         8         5         7         
Vardas77            Pavarde77           3         7         9         8         8         1         
Vardas78            Pavarde78           6         5         2         5         1         8         
Vardas79            Pavarde79           10        3         2         9         3         10        
Vardas80            Pavarde80           1         7         7         10        4         4         
Vardas81            Pavarde81           7         6         7         9         2         6         
Vardas82            Pavarde82           5         9         1         5         3         5         
Vardas83            Pavarde83           3         8         10        10        1         4         
Vardas84            Pavarde84           2         3         5         4         6         3         
Vardas85            Pavarde85           1         1         6         1         9         7         
Vardas86            Pavarde86           1         1         9         2         6         5         
Vardas87            Pavarde87           1         7         1         3         6         6         
Vardas88            Pavarde88           8         5         2         2         4         5         
Vardas89            Pavarde89           10        10        10        3         10        3         
Vardas90            Pavarde90           8         1         9         7         8         1         
Vardas91            Pavarde91           3         3         10        7         3         3         
Vardas92            Pavarde92           5         10        1         4         3         8         
Vardas93            Pavarde93           2         8         6         8         3         4         
Vardas94            Pavarde94           4         5         9         1         10        1         
Vardas95            Pavarde95           10        3         1         10        10        9         
Vardas96            Pavarde96           1         2         10        8         1         8         
Vardas97            Pavarde97           1         9         8         6         10        5         
Vardas98            Pavarde98           10        9         1         10        1         7         
Vardas99            Pavarde99           4         2         5         8         2         1         
Vardas100           Pavarde100          8         8         8         6         7         1         
Vardas101           Pavarde101          10        7         6         3         6         1         
Vardas102           Pavarde102          2         4         3         4         9         2         
Vardas103           Pavarde103          2         1         5         4         10        10        
Vardas104           Pavarde104          6         8         10        3         3         4         
Vardas105           Pavarde105          5         10        7         9         8         4         
Vardas106           Pavarde106          8         1         1         6         3         3         
Vardas107           Pavarde107          9         6         10        10        5         10        
Vardas108           Pavarde108          4         5         3         7         7         4         
Vardas109           Pavarde109          4         2         9         6         2         9         
Vardas110           Pavarde110          1         8         7         6         5         1         
Vardas111           Pavarde111          8         5         2         7         2         2         
Vardas112           Pavarde112          10        3         3         7         3         5         
Vardas113           Pavarde113          5         9         8         6         1         7         
Vardas114           Pavarde114          8         6         10        8         1         5         
Vardas115           Pavarde115          3         8         1         1         3         6         
Vardas116           Pavarde116          8         4         5         7         8         5         
Vardas117           Pavarde117          5         10        6         8         6         6         
Vardas118           Pavarde118          3         3         6         6         10        2         
Vardas119           Pavarde119          6         7         10        9         7         6         
Vardas120           Pavarde120          10        6         6         4         5         2         
Vardas121           Pavarde121          4         1         3         5         2         10        
Vardas122           Pavarde122          3         6         8         8         7         6         
Vardas123           Pavarde123          2         5         8         9         7         7         
Vardas124           Pavarde124          4         6         6         2         4         8         
Vardas125           Pavarde125          5         8         8         10        1         5         
Vardas126           Pavarde126          2         4         10        9         4         5         
Vardas127           Pavarde127          6         6         1         10        1         1         
Vardas128           Pavarde128          5         4         6         9         5         5         
Vardas129           Pavarde129          1         8         8         7         1         7         
Vardas130           Pavarde130          4         4         2         6         4         10        
Vardas131           Pavarde131          8         2         6         7         10        7         
Vardas132           Pavarde132          9         7         1         1         6         6         
Vardas133           Pavarde133          3         1         7         6         3         7         
Vardas134           Pavarde134          8         9         2         1         10        1         
Vardas135           Pavarde135          3         6         8         6         3         8         
Vardas136           Pavarde136          2         3         2         3         10        1         
Vardas137           Pavarde137          9         7         8         10        3         7         
Vardas138           Pavarde138          3         8         2         9         8         8         
Vardas139           Pavarde139          6         5         5         7         6         4         
Vardas140           Pavarde140          5         3         7         6         5         1         
Vardas141           Pavarde141          9         4         9         9         10        9         
Vardas142           Pavarde142          8         6         9         3         4         3         
Vardas143           Pavarde143          4         3         2         5         5         7         
Vardas144           Pavarde144          10        9         5         2         6         3         
Vardas145           Pavarde145          4         3         5         4         6         3         
Vardas146           Pavarde146          3         1         3         9         9         3         
Vardas147           Pavarde147          10        1         2         7         4         5         
Vardas148           Pavarde148          10        5         1         1         1         8         
Vardas149           Pavarde149          9         10        3         4         1         4         
Vardas150           Pavarde150          3         4         9         8         2         3         
Vardas151           Pavarde151          7         7         9         1         3         7         
Vardas152           Pavarde152          6         5         7         7         5         2         
Vardas153           Pavarde153          5         3         10        6         10        1         
Vardas154           Pavarde154          3         7         4         6         9         5         
Vardas155           Pavarde155          6         9         9         4         8         9         
Vardas156           Pavarde156          9         7         2         6         5         7         
Vardas157           Pavarde157          5         4         9         10        4         7         
Vardas158           Pavarde158          1         1         5         4         4         1         
Vardas159           Pavarde159          5         3         10        10        1         7         
Vardas160           Pavarde160          2         10        7         3         1         5         
Vardas161           Pavarde161          6         8         3         1         3         2         
Vardas162           Pavarde162          5         5         5         6         10        2         
Vardas163           Pavarde163          9         9         4         2         10        10        
Vardas164           Pavarde164          4         6         1         9         2         4         
Vardas165           Pavarde165          9         7         10        8         5         4         
Vardas166           Pavarde166          4         9         7         8         4         2         
Vardas167           Pavarde167          9         3         2         10        1         3         
Vardas168           Pavarde168          7         7         3         5         9         6         
Vardas169           Pavarde169          3         10        3         7         6         6         
Vardas170           Pavarde170          2         5         2         6         5         1         
Vardas171           Pavarde171          10        6         8         7         1         7         
Vardas172           Pavarde172          10        3         7         9         6         3         
Vardas173           Pavarde173          5         5         8         5         1         6         
Vardas174           Pavarde174          2         9         5         3         4         5         
Vardas175           Pavarde175          3         5         1         8         5         4         
Vardas176           Pavarde176          2         4         1         10        9         10        
Vardas177           Pavarde177          3         8         2         9         8         9         
Vardas178           Pavarde178          7         10        7         6         8         9         
Vardas179           Pavarde179          7         3         5         10        5         7         
Vardas180           Pavarde180          9         7         9         10        5         10        
Vardas181           Pavarde181          9         7         8         5         10        2         
Vardas182           Pavarde182          6         7         4         2         10        2         
Vardas183           Pavarde183          10        1         10        8         9         9         
Vardas184           Pavarde184          10        1         2         4         7         7         
Vardas185           Pavarde185          7         6         4         10        6         4         
Vardas186           Pavarde186          4         10        4         2         4         8         
Vardas187           Pavarde187          2         3         7         7         2         7         
Vardas188           Pavarde188          2         3         9         6         5         1         
Vardas189           Pavarde189          5         6         10        9         7         6         
Vardas190           Pavarde190          1         9         7         10        3         1         
Vardas191           Pavarde191          1         3         4         5         7         7         
Vardas192           Pavarde192          2         7         8         6         8         6         
Vardas193           Pavarde193          10        7         2         5         5         3         
Vardas194           Pavarde194          4         8         6         9         2         6         
Vardas195           Pavarde195          6         3         5         9         6         7         
Vardas196           Pavarde196          3         6         5         3         5         6         
Vardas197           Pavarde197          3         4         5         8         6         5         
Vardas198           Pavarde198          8         10        9         3         9         5         
Vardas199           Pavarde199          10        6         4         9         3         4         
Vardas200           Pavarde200          9         8         9         5         3         4         
Vardas201           Pavarde201          3         2         8         7         5         4         
Vardas202           Pavarde202          4         2         2         3         9         4         
Vardas203           Pavarde203          3         2         1         8         5         1         
Vardas204           Pavarde204          4         2         2         9         4         7         
Vardas205           Pavarde205          1         1         9         10        5         8         
Vardas206           Pavarde206          3         9         5         2         8         2         
Vardas207           Pavarde207          5         6         2         2         8         6         
Vardas208           Pavarde208          2         4         4         10        8         2         
Vardas209           Pavarde209          6         4         9         5         1         10        
Vardas210           Pavarde210          8         5         2         10        4         3         
Vardas211           Pavarde211          9         10        3         5         8         7         
Vardas212           Pavarde212          6         6         7         1         7         10        
Vardas213           Pavarde213          10        1         5         1         1         2         
Vardas214           Pavarde214          7         5         7         4         6         1         
Vardas215           Pavarde215          5         3         4         4         2         7         
Vardas216           Pavarde216          3         10        6         6         7         3         
Vardas217           Pavarde217          7         10        4         8         4         1         
Vardas218           Pavarde218          3         7         1         4         8         7         
Vardas219           Pavarde219          3         2         2         10        9         6         
Vardas220           Pavarde220          9         8         10        1         2         3         
Vardas221           Pavarde221          2         4         10        6         2         4         
Vardas222           Pavarde222          7         3         9         1         1         1         
Vardas223           Pavarde223          1         3         4         6         7         1         
Vardas224           Pavarde224          1         7         7         7         6         10        
Vardas225           Pavarde225          1         6         5         7         5         4         
Vardas226           Pavarde226          6         2         5         1         1         5         
Vardas227           Pavarde227          3         9         8         4         4         6         
Vardas228           Pavarde228          2         4         8         1         5         8         
Vardas229           Pavarde229          1         1         8         10        3         7         
Vardas230           Pavarde230          7         4         10        10        4         3         
Vardas231           Pavarde231          9         2         4         6         1         1         
Vardas232           Pavarde232          3         8         1         10        9         1         
Vardas233           Pavarde233          8         9         2         7         8         6         
Vardas234           Pavarde234          5         2         10        8         10        5         
Vardas235           Pavarde235          9         8         1         6         4         8         
Vardas236           Pavarde236          2         1         3         9         10        7         
Vardas237           Pavarde237          1         8         4         8         4         9         
Vardas238           Pavarde238          9         5         8         9         3         2         
Vardas239           Pavarde239          2         5         6         1         3         4         
Vardas240           Pavarde240          8         7         10        4         3         9         
Vardas241           Pavarde241          5         3         8         4         5         3         
Vardas242           Pavarde242          7         8         8         8         2         6         
Vardas243           Pavarde243          4         8         4         1         3         2         
Vardas244           Pavarde244          5         4         8         3         6         8         
Vardas245           Pavarde245          2         1         6         4         1         7         
Vardas246           Pavarde246          10        5         2         3         1         9         
Vardas247           Pavarde247          1         8         6         7         2         9         
Vardas248           Pavarde248          10        2         1         9         8         2         
Vardas249           Pavarde249          5         9         6         3         7         7         
Vardas250           Pavarde250          3         5         5         7         6         5         
Vardas251           Pavarde251          5         3         8         1         6         3         
Vardas252           Pavarde252          9         1         6         6         6         3         
Vardas253           Pavarde253          8         1         9         4         3         8         
Vardas254           Pavarde254          6         3         1         4         9         6         
Vardas255           Pavarde255          10        5         4         5         2         8         
Vardas256           Pavarde256          10        8         1         4         5         1         
Vardas257           Pavarde257          3         8         6         7         3         3         
Vardas258           Pavarde258          7         7         9         10        9         10        
Vardas259           Pavarde259          6         4         1         9         6         2         
Vardas260           Pavarde260          9         6         3         4         5         4         
Vardas261           Pavarde261          9         2         3         5         5         2         
Vardas262           Pavarde262          1         2         8         8         3         6         
Vardas263           Pavarde263          7         5         10        5         3         4         
Vardas264           Pavarde264          6         6         5         10        10        9         
Vardas265           Pavarde265          2         3         9         8         7         7         
Vardas266           Pavarde266          4         7         4         4         9         3         
Vardas267           Pavarde267          5         4         8         7         2         5         
Vardas268           Pavarde268          10        8         8         1         5         2         
Vardas269           Pavarde269          7         4         7         1         1         10        
Vardas270           Pavarde270          7         9         2         7         7         3         
Vardas271           Pavarde271          1         8         8         10        2         9         
Vardas272           Pavarde272          8         8         2         10        7         10        
Vardas273           Pavarde273          5         5         9         4         1         9         
Vardas274           Pavarde274          10        6         8         6         6         9         
Vardas275           Pavarde275          3         5         10        2         7         10        
Vardas276           Pavarde276          6         2         7         4         8         1         
Vardas277           Pavarde277          4         7         9         10        9         5         
Vardas278           Pavarde278          7         4         8         6         6         5         
Vardas279           Pavarde279          9         4         10        10        4         4         
Vardas280           Pavarde280          9         5         1         9         1         5         
Vardas281           Pavarde281          9         6         2         4         5         9         
Vardas282           Pavarde282          10        4         1         9         3         3         
Vardas283           Pavarde283          10        10        8         9         2         2         
Vardas284           Pavarde284          8         4         10        5         3         10        
Vardas285           Pavarde285          9         9         8         9         5         2         
Vardas286           Pavarde286          10        3         5         2         1         3         
Vardas287           Pavarde287          4         7         4         2         9         3         
Vardas288           Pavarde288          8         10        8         9         4         8         
Vardas289           Pavarde289          3         7         10        4         9         9         
Vardas290           Pavarde290          3         3         4         4         10        7         
Vardas291           Pavarde291          2         6         3         3         8         4         
Vardas292           Pavarde292          2         10        5         10        9         1         
Vardas293           Pavarde293          6         9         8         3         4         2         
Vardas294           Pavarde294          1         7         2         8         8         8         
Vardas295           Pavarde295          4         9         2         10        10        6         
Vardas296           Pavarde296          6         6         1         4         6         3         
Vardas297           Pavarde297          8         2         9         10        5         10        
Vardas298           Pavarde298          7         1         3         5         8         1         
Vardas299           Pavarde299          10        8         2         7         8         3         
Vardas300           Pavarde300          2         9         5         9         9         4         
Vardas301           Pavarde301          2         8         10        3         5         8         
Vardas302           Pavarde302          5         8         2         5         10        2         
Vardas303           Pavarde303          1         2         2         2         3         2         
Vardas304           Pavarde304          4         8         5         4         2         5         
Vardas305           Pavarde305          7         2         6         9         1         10        
Vardas306           Pavarde306          9         8         7         6         10        2         
Vardas307           Pavarde307          3         7         2         2         4         1         
Vardas308           Pavarde308          1         9         3         4         2         7         
Vardas309           Pavarde309          5         4         2         9         10        4         
Vardas310           Pavarde310          7         10        5         1         9         5         
Vardas311           Pavarde311          6         8         4         2         7         6         
Vardas312           Pavarde312          8         3         5         5         9         2         
Vardas313           Pavarde313          3         1         1         8         5         3         
Vardas314           Pavarde314          10        7         5         4         10        5         
Vardas315           Pavarde315          7         9         3         3         5         10        
Vardas316           Pavarde316          9         8         2         2         8         3         
Vardas317           Pavarde317          2         9         5         5         9         5         
Vardas318           Pavarde318          10        6         6         10        9         2         
Vardas319           Pavarde319          6         8         1         1         7         1         
Vardas320           Pavarde320          1         1         4         7         4         4         
Vardas321           Pavarde321          6         5         2         7         7         2         
Vardas322           Pavarde322          5         5         1         9         5         4         
Vardas323           Pavarde323          8         1         9         9         3         6         
Vardas324           Pavarde324          9         5         3         5         3         10        
Vardas325           Pavarde325          5         1         6         6         6         10        
Vardas326           Pavarde326          7         2         7         8         9         7         
Vardas327           Pavarde327          4         5         4         1         1         1         
Vardas328           Pavarde328          6         5         9         3         9         2         
Vardas329           Pavarde329          3         6         5         4         6         10        
Vardas330           Pavarde330          4         4         7         1         1         1         
Vardas331           Pavarde331          8         10        2         5         2         4         
Vardas332           Pavarde332          5         5         6         5         6         1         
Vardas333           Pavarde333          6         4         5         5         6         9         
Vardas334           Pavarde334          5         4         8         4         3         5         
Vardas335           Pavarde335          6         9         8         3         5         6         
Vardas336           Pavarde336          4         8         5         3         9         10        
Vardas337           Pavarde337          8         1         6         8         7         5         
Vardas338           Pavarde338          2         2         9         5         4         5         
Vardas339           Pavarde339          2         7         9         4         3         1         
Vardas340           Pavarde340          2         4         6         4         2         2         
Vardas341           Pavarde341          1         5         3         10        1         2         
Vardas342           Pavarde342          1         5         4         8         4         9         
Vardas343           Pavarde343          9         1         5         5         7         9         
Vardas344           Pavarde344          4         10        1         2         9         2         
Vardas345           Pavarde345          9         7         1         6         6         6         
Vardas346           Pavarde346          6         9         1         3         5         9         
Vardas347           Pavarde347          7         9         4         3         2         10        
Vardas348           Pavarde348          2         3         4         8         4         4         
Vardas349           Pavarde349          10        2         10        1         10        4         
Vardas350           Pavarde350          8         3         10        9         2         2         
Vardas351           Pavarde351          2         7         4         5         5         6         
Vardas352           Pavarde352          1         1         6         7         3         7         
Vardas353           Pavarde353          7         7         8         2         3         4         
Vardas354           Pavarde354          2         10        2         3         7         9         
Vardas355           Pavarde355          6         10        2         5         7         6         
Vardas356           Pavarde356          3         3         1         9         7         9         
Vardas357           Pavarde357          5         9         7         9         4         4         
Vardas358           Pavarde358          7         5         3         7         6         5         
Vardas359           Pavarde359          8         2         4         5         8         4         
Vardas360           Pavarde360          5         6         3         6         7         2         
Vardas361           Pavarde361          3         5         6         4         8         7         
Vardas362           Pavarde362          10        6         3         4         5         10        
Vardas363           Pavarde363          10        5         9         4         7         2         
Vardas364           Pavarde364          6         7         5         10        7         6         
Vardas365           Pavarde365          8         4         2         1         4         9         
Vardas366           Pavarde366          1         9         8         3         2         3         
Vardas367           Pavarde367          8         3         5         7         9         9         
Vardas368           Pavarde368          3         7         4         10        1         10        
Vardas369           Pavarde369          5         6         5         3         3         4         
Vardas370           Pavarde370          5         7         10        9         4         9         
Vardas371           Pavarde371          10        9         5         9         3         6         
Vardas372           Pavarde372          1         8         4         2         10        3         
Vardas373           Pavarde373          4         6         2         3         1         9         
Vardas374           Pavarde374          7         10        8         4         6         8         
Vardas375           Pavarde375          3         6         10        7         2         2         
Vardas376           Pavarde376          3         9         6         10        10        5         
Vardas377           Pavarde377          3         3         3         1         4         5         
Vardas378           Pavarde378          4         3         9         7         2         10        
Vardas379           Pavarde379          8         5         3         6         3         10        
Vardas380           Pavarde380          3         3         5         2         3         3         
Vardas381           Pavarde381          9         4         5         10        10        1         
Vardas382           Pavarde382          2         10        6         10        3         5         
Vardas383           Pavarde383          8         4         5         7         2         10        
Vardas384           Pavarde384          1         9         1         7         1         3         
Vardas385           Pavarde385          2         6         4         9         1         1         
Vardas386           Pavarde386          6         2         2         5         6         5         
Vardas387           Pavarde387          6         6         7         2         5         3         
Vardas388           Pavarde388          1         9         1         10        7         10        
Vardas389           Pavarde389          7         7         4         1         8         7         
Vardas390           Pavarde390          9         6         8         4         5         4         
Vardas391           Pavarde391          6         1         1         3         9         2         
Vardas392           Pavarde392          1         7         5         2         5         1         
Vardas393           Pavarde393          8         8         8         8         6         3         
Vardas394           Pavarde394          6         3         2         10        1         1         
Vardas395           Pavarde395          2         6         9         2         10        2         
Vardas396           Pavarde396          7         7         8         3         3         2         
Vardas397           Pavarde397          2         3         9         3         6         9         
Vardas398           Pavarde398          3         1         6         7         10        9         
Vardas399           Pavarde399          2         6         3         1         8         6         
Vardas400           Pavarde400          9         2         1         4         10        6         
Vardas401           Pavarde401          7         8         2         9         5         9         
Vardas402           Pavarde402          2         8         5         2         4         4         
Vardas403           Pavarde403          3         2         7         1         4         8         
Vardas404           Pavarde404          7         2         1         7         9         7         
Vardas405           Pavarde405          1         7         6         9         5         3         
Vardas406           Pavarde406          5         7         5         8         2         7         
Vardas407           Pavarde407          1         4         3         5         2         2         
Vardas408           Pavarde408          4         4         7         3         9         6         
Vardas409           Pavarde409          8         5         4         1         9         6         
Vardas410           Pavarde410          8         6         3         6         2         7         
Vardas411           Pavarde411          8         9         2         2         2         6         
Vardas412           Pavarde412          2         6         1         4         2         7         
Vardas413           Pavarde413          3         9         6         8         5         4         
Vardas414           Pavarde414          6         5         9         2         5         9         
Vardas415           Pavarde415          2         5         10        5         7         8         
Vardas416           Pavarde416          6         5         9         10        7         1         
Vardas417           Pavarde417          5         10        7         9         4         3         
Vardas418           Pavarde418          9         7         10        1         8         3         
Vardas419           Pavarde419          1         9         5         1         7         1         
Vardas420           Pavarde420          1         6         8         8         5         10        
Vardas421           Pavarde421          6         5         6         4         5         8         
Vardas422           Pavarde422          5         9         1         1         9         3         
Vardas423           Pavarde423          10        1         1         2         5         8         
Vardas424           Pavarde424          8         2         2         2         10        10        
Vardas425           Pavarde425          1         5         10        1         1         5         
Vardas426           Pavarde426          4         8         10        9         1         8         
Vardas427           Pavarde427          8         7         6         7         4         5         
Vardas428           Pavarde428          4         1         7         1         2         5         
Vardas429           Pavarde429          8         10        1         6         5         2         
Vardas430           Pavarde430          9         10        4         6         2         3         
Vardas431           Pavarde431          8         6         5         5         2         5         
Vardas432           Pavarde432          7         10        4         9         8         2         
Vardas433           Pavarde433          3         5         3         8         9         9         
Vardas434           Pavarde434          8         9         1         10        1         2         
Vardas435           Pavarde435          10        5         9         2         10        8         
Vardas436           Pavarde436          6         3         6         6         4         3         
Vardas437           Pavarde437          2         6         6         3         3         1         
Vardas438           Pavarde438          4         7         5         8         6         6         
Vardas439           Pavarde439          5         2         2         4         10        8         
Vardas440           Pavarde440          2         5         6         2         6         8         
Vardas441           Pavarde441          2         1         6         4         6         5         
Vardas442           Pavarde442          8         9         1         4         3         6         
Vardas443           Pavarde443          10        3         6         9         4         2         
Vardas444           Pavarde444          7         6         9         5         2         10        
Vardas445           Pavarde445          7         3         7         1         5         3         
Vardas446           Pavarde446          6         7         7         1         7         5         
Vardas447           Pavarde447          4         5         9         4         6         2         
Vardas448           Pavarde448          10        8         3         8         10        3         
Vardas449           Pavarde449          7         1         8         9         7         2         
Vardas450           Pavarde450          2         10        9         1         2         5         
Vardas451           Pavarde451          10        3         3         10        3         8         
Vardas452           Pavarde452          3         1         3         6         2         2         
Vardas453           Pavarde453          9         2         5         8         8         9         
Vardas454           Pavarde454          9         1         7         8         8         6         
Vardas455           Pavarde455          6         5         1         10        7         1         
Vardas456           Pavarde456          8         8         2         6         4         2         
Vardas457           Pavarde457          3         4         4         6         5         2         
Vardas458           Pavarde458          8         7         9         8         1         7         
Vardas459           Pavarde459          2         2         7         2         2         5         
Vardas460           Pavarde460          4         2         7         8         10        9         
Vardas461           Pavarde461          4         1         7         3         7         8         
Vardas462           Pavarde462          8         6         10        2         3         3         
Vardas463           Pavarde463          3         7         6         8         9         10        
Vardas464           Pavarde464          4         9         5         3         5         7         
Vardas465           Pavarde465          9         9         10        10        4         5         
Vardas466           Pavarde466          5         2         8         5         7         3         
Vardas467           Pavarde467          4         6         9         5         4         4         
Vardas468           Pavarde468          6         3         10        1         6         5         
Vardas469           Pavarde469          4         4         8         9         8         3         
Vardas470           Pavarde470          5         3         1         8         4         3         
Vardas471           Pavarde471          4         1         4         8         7         4         
Vardas472           Pavarde472          9         7         1         10        7         6         
Vardas473           Pavarde473          6         8         5         9         6         2         
Vardas474           Pavarde474          4         3         6         8         10        3         
Vardas475           Pavarde475          4         8         3         9         2         5         
Vardas476           Pavarde476          4         1         5         5         1         8         
Vardas477           Pavarde477          8         4         5         6         7         1         
Vardas478           Pavarde478          8         1         6         2         4         4         
Vardas479           Pavarde479          2         7         6         4         1         9         
Vardas480           Pavarde480          5         7         3         3         2         2         
Vardas481           Pavarde481          6         4         7         5         2         5         
Vardas482           Pavarde482          8         2         4         10        5         6         
Vardas483           Pavarde483          5         9         7         9         3         4         
Vardas484           Pavarde484          8         3         10        10        6         10        
Vardas485           Pavarde485          10        5         1         10        10        10        
Vardas486           Pavarde486          2         5         8         3         1         2         
Vardas487           Pavarde487          8         10        7         5         1         10        
Vardas488           Pavarde488          10        8         6         3         10        9         
Vardas489           Pavarde489          6         4         10        7         7         2         
Vardas490           Pavarde490          4         9         4         7         4         9         
Vardas491           Pavarde491          2         4         3         7         9         4         
Vardas492           Pavarde492          2         3         1         8         8         6         
Vardas493           Pavarde493          4         5         5         6         10        3         
Vardas494           Pavarde494          7         2         5         8         6         4         
Vardas495           Pavarde495          4         2         10        1         5         2         
Vardas496           Pavarde496          4         1         6         9         6         7         
Vardas497           Pavarde497          4         2         1         3         2         7         
Vardas498           Pavarde498          7         2         4         5         8         5         
Vardas499           Pavarde499          5         9         2         1         7         4         
Vardas500           Pavarde500          4         1         1         10        4         3         
Vardas501           Pavarde501          8         8         3         1         2         7         
Vardas502           Pavarde502          5         5         1         5         3         9         
Vardas503           Pavarde503          6         3         2         7         9         2         
Vardas504           Pavarde504          7         5         9         9         1         7         
Vardas505           Pavarde505          4         3         4         2         5         8         
Vardas506           Pavarde506          4         4         8         5         1         5         
Vardas507           Pavarde507          6         4         8         6         4         10        
Vardas508           Pavarde508          2         6         7         6         7         7         
Vardas509           Pavarde509          8         2         10        3         10        3         
Vardas510           Pavarde510          9         7         3         9         3         4         
Vardas511           Pavarde511          1         5         3         1         9         7         
Vardas512           Pavarde512          6         2         5         3         10        7         
Vardas513           Pavarde513          5         10        6         9         6         2         
Vardas514           Pavarde514          5         2         4         7         3         8         
Vardas515           Pavarde515          4         4         7         10        3         1         
Vardas516           Pavarde516          2         9         1         10        2         8         
Vardas517           Pavarde517          8         8         9         9         10        4         
Vardas518           Pavarde518          4         3         10        3         2         3         
Vardas519           Pavarde519          2         8         3         8         1         6         
Vardas520           Pavarde520          7         10        8         2         4         3         
Vardas521           Pavarde521          2         8         3         3         8         7         
Vardas522           Pavarde522          6         10        6         5         5         2         
Vardas523           Pavarde523          4         4         10        7         9         7         
Vardas524           Pavarde524          2         8         5         4         5         4         
Vardas525           Pavarde525          8         9         9         8         9         6         
Vardas526           Pavarde526          4         6         5         4         4         4         
Vardas527           Pavarde527          8         9         7         10        1         10        
Vardas528           Pavarde528          3         9         9         8         2         4         
Vardas529           Pavarde529          8         2         8         7         6         7         
Vardas530           Pavarde530          7         1         6         5         1         4         
Vardas531           Pavarde531          10        10        3         6         9         9         
Vardas532           Pavarde532          5         7         2         4         7         3         
Vardas533           Pavarde533          9         7         5         3         7         10        
Vardas534           Pavarde534          3         5         7         8         6         1         
Vardas535           Pavarde535          1         10        6         1         5         4         
